attendance	team1	team2	goals	tie	pk	stage	round	year	date	time	stadium	referee	url
25000	Italy	USA	1-Jul	FALSE	FALSE	FIRST ROUND	FALSE	1934	27-05-1934 (16:00 h)	16:00	Stadio Nazionale del PNF (Roma)	RenÌÄå© Mercet (SWI)	1934_ITALY_FS.htm
16000	Austria	France	2-Mar	FALSE	FALSE	FIRST ROUND	FALSE	1934	27-05-1934 (16:30 h)	16:30	Benito Mussolini (Torino)	John van Moorsel (NED)	1934_ITALY_FS.htm
8000	Germany	Belgium	2-May	FALSE	FALSE	FIRST ROUND	FALSE	1934	27-05-1934 (16:30 h)	16:30	Giovanni Berta (Firenze)	Francesco Mattea (ITA)	1934_ITALY_FS.htm
9000	Czechoslovakia	Romania	1-Feb	FALSE	FALSE	FIRST ROUND	FALSE	1934	27-05-1934 (16:30 h)	16:30	Stadio del Littorio (Trieste)	Jean Langenus (BEL)	1934_ITALY_FS.htm
33000	Switzerland	Netherlands	2-Mar	FALSE	FALSE	FIRST ROUND	FALSE	1934	27-05-1934 (16:30 h)	16:30	San Siro (Milano)	Ivan Eklind (SWE)	1934_ITALY_FS.htm
14000	Sweden	Argentina	2-Mar	FALSE	FALSE	FIRST ROUND	FALSE	1934	27-05-1934 (16:30 h)	16:30	Stadio Littoriale (Bologna)	Erwin Braun (AUT)	1934_ITALY_FS.htm
21000	Spain	Brazil	1-Mar	FALSE	FALSE	FIRST ROUND	FALSE	1934	27-05-1934 (16:30 h)	16:30	Luigi Ferraris (Genova)	Alfred Birlem (GER)	1934_ITALY_FS.htm
9000	Hungary	Egypt	2-Apr	FALSE	FALSE	FIRST ROUND	FALSE	1934	27-05-1934 (16:30 h)	16:30	Giorgio Ascarelli (Napoli)	Rinaldo Barlassina (ITA)	1934_ITALY_FS.htm
23000	Austria	Hungary	1-Feb	FALSE	FALSE	1/4 FINAL	FALSE	1934	31-05-1934 (16:30 h)	16:30	Stadio Littoriale (Bologna)	Francesco Mattea (ITA)	1934_ITALY_FS.htm
12000	Czechoslovakia	Switzerland	2-Mar	FALSE	FALSE	1/4 FINAL	FALSE	1934	31-05-1934 (16:30 h)	16:30	Benito Mussolini (Torino)	Alois Beranek (AUT)	1934_ITALY_FS.htm
15000	Germany	Sweden	1-Feb	FALSE	FALSE	1/4 FINAL	FALSE	1934	31-05-1934 (16:30 h)	16:30	San Siro (Milano)	Rinaldo Barlassina (ITA)	1934_ITALY_FS.htm
35000	Italy	Spain	1-Jan	FALSE	FALSE	1/4 FINAL	FALSE	1934	31-05-1934 (16:30 h)	16:30	Giovanni Berta (Firenze)	Louis Baert (BEL)	1934_ITALY_FS.htm
43000	Italy	Spain	Jan-00	FALSE	FALSE	1/4 FINAL	FALSE	1934	1-06-1934 (16:45 h)	16:45	Giovanni Berta (Firenze)	RenÌÄå© Mercet (SWI)	1934_ITALY_FS.htm
60000	Italy	Austria	Jan-00	FALSE	FALSE	1/2 FINAL	FALSE	1934	3-06-1934 (16:30 h)	16:30	San Siro (Milano)	Ivan Eklind (SWE)	1934_ITALY_FS.htm
15000	Czechoslovakia	Germany	1-Mar	FALSE	FALSE	1/2 FINAL	FALSE	1934	3-06-1934 (16:30 h)	16:30	Stadio Nazionale del PNF (Roma)	Rinaldo Barlassina (ITA)	1934_ITALY_FS.htm
7000	Germany	Austria	2-Mar	FALSE	FALSE	PLACES 3-4	FALSE	1934	7-06-1934 (17:30 h)	17:30	Giorgio Ascarelli (Napoli)	Albino Carraro (ITA)	1934_ITALY_FS.htm
50000	Italy	Czechoslovakia	1-Feb	FALSE	FALSE	FINAL ROUND	FALSE	1934	10-06-1934 (17:00 h)	17:00	Stadio Nazionale del PNF (Roma)	Ivan Eklind(SWE)	1934_ITALY_FS.htm
